File,2.csv,
1597.445440,2.3710E-004,1597.445440,1.3540E-004,1597.445440,8.1220E-005,1597.445440,5.2440E-005,1597.445440,2.9192E000
1597.461920,2.3500E-004,1597.461920,1.3450E-004,1597.461920,8.0750E-005,1597.461920,5.2060E-005,1597.461920,2.9102E000
1597.478400,2.3260E-004,1597.478400,1.3330E-004,1597.478400,7.9610E-005,1597.478400,5.1500E-005,1597.478400,2.9217E000
1597.494880,2.3090E-004,1597.494880,1.3160E-004,1597.494880,7.9160E-005,1597.494880,5.0930E-005,1597.494880,2.9169E000
1597.511360,2.3010E-004,1597.511360,1.3140E-004,1597.511360,7.8750E-005,1597.511360,5.0870E-005,1597.511360,2.9219E000
1597.527840,2.3070E-004,1597.527840,1.3180E-004,1597.527840,7.8850E-005,1597.527840,5.0620E-005,1597.527840,2.9258E000
1597.544320,2.3190E-004,1597.544320,1.3250E-004,1597.544320,7.9260E-005,1597.544320,5.0790E-005,1597.544320,2.9258E000
1597.560800,2.3420E-004,1597.560800,1.3350E-004,1597.560800,8.0020E-005,1597.560800,5.1380E-005,1597.560800,2.9268E000
1597.577280,2.3620E-004,1597.577280,1.3510E-004,1597.577280,8.0900E-005,1597.577280,5.1810E-005,1597.577280,2.9197E000
1597.593760,2.3810E-004,1597.593760,1.3610E-004,1597.593760,8.1630E-005,1597.593760,5.2280E-005,1597.593760,2.9168E000
1597.610240,2.3890E-004,1597.610240,1.3670E-004,1597.610240,8.2270E-005,1597.610240,5.2610E-005,1597.610240,2.9039E000
1597.626720,2.3770E-004,1597.626720,1.3650E-004,1597.626720,8.1960E-005,1597.626720,5.2480E-005,1597.626720,2.9002E000
1597.643200,2.3580E-004,1597.643200,1.3530E-004,1597.643200,8.1220E-005,1597.643200,5.2100E-005,1597.643200,2.9032E000
1597.659680,2.3300E-004,1597.659680,1.3330E-004,1597.659680,8.0450E-005,1597.659680,5.1500E-005,1597.659680,2.8962E000
1597.676160,2.3050E-004,1597.676160,1.3190E-004,1597.676160,7.9490E-005,1597.676160,5.0950E-005,1597.676160,2.8997E000
1597.692640,2.2950E-004,1597.692640,1.3140E-004,1597.692640,7.9040E-005,1597.692640,5.0620E-005,1597.692640,2.9036E000
1597.709120,2.2950E-004,1597.709120,1.3080E-004,1597.709120,7.8830E-005,1597.709120,5.0440E-005,1597.709120,2.9113E000
1597.725600,2.3050E-004,1597.725600,1.3160E-004,1597.725600,7.9240E-005,1597.725600,5.0580E-005,1597.725600,2.9089E000
1597.742080,2.3240E-004,1597.742080,1.3250E-004,1597.742080,7.9980E-005,1597.742080,5.0950E-005,1597.742080,2.9057E000
1597.758560,2.3500E-004,1597.758560,1.3430E-004,1597.758560,8.0690E-005,1597.758560,5.1460E-005,1597.758560,2.9124E000
1597.775040,2.3770E-004,1597.775040,1.3580E-004,1597.775040,8.1370E-005,1597.775040,5.1990E-005,1597.775040,2.9212E000
1597.791520,2.4030E-004,1597.791520,1.3690E-004,1597.791520,8.2370E-005,1597.791520,5.2570E-005,1597.791520,2.9173E000
1597.808000,2.4070E-004,1597.808000,1.3720E-004,1597.808000,8.2860E-005,1597.808000,5.2890E-005,1597.808000,2.9049E000
1597.824480,2.3930E-004,1597.824480,1.3710E-004,1597.824480,8.2510E-005,1597.824480,5.2550E-005,1597.824480,2.9003E000
1597.840960,2.3660E-004,1597.840960,1.3540E-004,1597.840960,8.1820E-005,1597.840960,5.2060E-005,1597.840960,2.8917E000
1597.857440,2.3320E-004,1597.857440,1.3370E-004,1597.857440,8.0810E-005,1597.857440,5.1500E-005,1597.857440,2.8858E000
1597.873920,2.3030E-004,1597.873920,1.3210E-004,1597.873920,7.9730E-005,1597.873920,5.0830E-005,1597.873920,2.8885E000
1597.890400,2.2870E-004,1597.890400,1.3080E-004,1597.890400,7.9080E-005,1597.890400,5.0380E-005,1597.890400,2.8920E000
1597.906880,2.2770E-004,1597.906880,1.3040E-004,1597.906880,7.8830E-005,1597.906880,5.0090E-005,1597.906880,2.8885E000
1597.923360,2.2850E-004,1597.923360,1.3050E-004,1597.923360,7.9120E-005,1597.923360,5.0280E-005,1597.923360,2.8880E000
1597.939840,2.3010E-004,1597.939840,1.3160E-004,1597.939840,7.9690E-005,1597.939840,5.0540E-005,1597.939840,2.8874E000
1597.956320,2.3360E-004,1597.956320,1.3320E-004,1597.956320,8.0590E-005,1597.956320,5.0950E-005,1597.956320,2.8986E000
1597.972800,2.3660E-004,1597.972800,1.3530E-004,1597.972800,8.1800E-005,1597.972800,5.1830E-005,1597.972800,2.8924E000
1597.989280,2.3990E-004,1597.989280,1.3670E-004,1597.989280,8.2840E-005,1597.989280,5.2300E-005,1597.989280,2.8959E000
1598.005760,2.4070E-004,1598.005760,1.3730E-004,1598.005760,8.3270E-005,1598.005760,5.2790E-005,1598.005760,2.8906E000
1598.022240,2.3970E-004,1598.022240,1.3690E-004,1598.022240,8.2860E-005,1598.022240,5.2670E-005,1598.022240,2.8928E000
1598.038720,2.3730E-004,1598.038720,1.3570E-004,1598.038720,8.2200E-005,1598.038720,5.2160E-005,1598.038720,2.8869E000
1598.055200,2.3440E-004,1598.055200,1.3380E-004,1598.055200,8.1160E-005,1598.055200,5.1590E-005,1598.055200,2.8881E000
1598.071680,2.3110E-004,1598.071680,1.3260E-004,1598.071680,8.0280E-005,1598.071680,5.1050E-005,1598.071680,2.8787E000
1598.088160,2.2970E-004,1598.088160,1.3120E-004,1598.088160,7.9530E-005,1598.088160,5.0340E-005,1598.088160,2.8882E000
1598.104640,2.2850E-004,1598.104640,1.3060E-004,1598.104640,7.9220E-005,1598.104640,5.0260E-005,1598.104640,2.8844E000
1598.121120,2.2850E-004,1598.121120,1.3080E-004,1598.121120,7.9160E-005,1598.121120,5.0010E-005,1598.121120,2.8866E000
1598.137600,2.3050E-004,1598.137600,1.3170E-004,1598.137600,7.9570E-005,1598.137600,5.0460E-005,1598.137600,2.8968E000
1598.154080,2.3360E-004,1598.154080,1.3350E-004,1598.154080,8.0750E-005,1598.154080,5.0990E-005,1598.154080,2.8929E000
1598.170560,2.3660E-004,1598.170560,1.3510E-004,1598.170560,8.2060E-005,1598.170560,5.1630E-005,1598.170560,2.8833E000
1598.187040,2.3850E-004,1598.187040,1.3650E-004,1598.187040,8.2820E-005,1598.187040,5.2280E-005,1598.187040,2.8797E000
1598.203520,2.3930E-004,1598.203520,1.3670E-004,1598.203520,8.3020E-005,1598.203520,5.2300E-005,1598.203520,2.8824E000
1598.220000,2.3770E-004,1598.220000,1.3620E-004,1598.220000,8.2900E-005,1598.220000,5.2200E-005,1598.220000,2.8673E000
1598.236480,2.3520E-004,1598.236480,1.3480E-004,1598.236480,8.2270E-005,1598.236480,5.1950E-005,1598.236480,2.8589E000
1598.252960,2.3280E-004,1598.252960,1.3300E-004,1598.252960,8.1000E-005,1598.252960,5.1220E-005,1598.252960,2.8741E000
1598.269440,2.2970E-004,1598.269440,1.3160E-004,1598.269440,8.0200E-005,1598.269440,5.0650E-005,1598.269440,2.8641E000
1598.285920,2.2810E-004,1598.285920,1.3050E-004,1598.285920,7.9490E-005,1598.285920,5.0180E-005,1598.285920,2.8695E000
1598.302400,2.2770E-004,1598.302400,1.2990E-004,1598.302400,7.9240E-005,1598.302400,4.9890E-005,1598.302400,2.8735E000
1598.318880,2.2850E-004,1598.318880,1.3010E-004,1598.318880,7.9450E-005,1598.318880,4.9870E-005,1598.318880,2.8760E000
1598.335360,2.3030E-004,1598.335360,1.3130E-004,1598.335360,8.0080E-005,1598.335360,5.0180E-005,1598.335360,2.8759E000
1598.351840,2.3320E-004,1598.351840,1.3320E-004,1598.351840,8.0940E-005,1598.351840,5.0870E-005,1598.351840,2.8811E000
1598.368320,2.3600E-004,1598.368320,1.3500E-004,1598.368320,8.2060E-005,1598.368320,5.1540E-005,1598.368320,2.8759E000
1598.384800,2.3870E-004,1598.384800,1.3630E-004,1598.384800,8.3100E-005,1598.384800,5.2160E-005,1598.384800,2.8724E000
1598.401280,2.3910E-004,1598.401280,1.3700E-004,1598.401280,8.3310E-005,1598.401280,5.2360E-005,1598.401280,2.8700E000
1598.417760,2.3770E-004,1598.417760,1.3630E-004,1598.417760,8.3290E-005,1598.417760,5.2260E-005,1598.417760,2.8539E000
1598.434240,2.3560E-004,1598.434240,1.3490E-004,1598.434240,8.2410E-005,1598.434240,5.1830E-005,1598.434240,2.8589E000
1598.450720,2.3190E-004,1598.450720,1.3340E-004,1598.450720,8.1690E-005,1598.450720,5.1140E-005,1598.450720,2.8388E000
1598.467200,2.2970E-004,1598.467200,1.3150E-004,1598.467200,8.0630E-005,1598.467200,5.0460E-005,1598.467200,2.8488E000
1598.483680,2.2700E-004,1598.483680,1.2970E-004,1598.483680,7.9690E-005,1598.483680,4.9770E-005,1598.483680,2.8485E000
1598.500160,2.2560E-004,1598.500160,1.2910E-004,1598.500160,7.9120E-005,1598.500160,4.9560E-005,1598.500160,2.8514E000
1598.516640,2.2620E-004,1598.516640,1.2890E-004,1598.516640,7.9180E-005,1598.516640,4.9380E-005,1598.516640,2.8568E000
1598.533120,2.2790E-004,1598.533120,1.3010E-004,1598.533120,7.9630E-005,1598.533120,4.9680E-005,1598.533120,2.8620E000
1598.549600,2.3030E-004,1598.549600,1.3120E-004,1598.549600,8.0550E-005,1598.549600,5.0050E-005,1598.549600,2.8591E000
1598.566080,2.3420E-004,1598.566080,1.3340E-004,1598.566080,8.1570E-005,1598.566080,5.0770E-005,1598.566080,2.8712E000
1598.582560,2.3660E-004,1598.582560,1.3470E-004,1598.582560,8.2700E-005,1598.582560,5.1280E-005,1598.582560,2.8609E000
1598.599040,2.3770E-004,1598.599040,1.3580E-004,1598.599040,8.3170E-005,1598.599040,5.1710E-005,1598.599040,2.8580E000
1598.615520,2.3790E-004,1598.615520,1.3580E-004,1598.615520,8.3510E-005,1598.615520,5.1750E-005,1598.615520,2.8488E000
1598.632000,2.3640E-004,1598.632000,1.3520E-004,1598.632000,8.2920E-005,1598.632000,5.1710E-005,1598.632000,2.8509E000
1598.648480,2.3300E-004,1598.648480,1.3380E-004,1598.648480,8.1980E-005,1598.648480,5.1140E-005,1598.648480,2.8422E000
1598.664960,2.3070E-004,1598.664960,1.3210E-004,1598.664960,8.1020E-005,1598.664960,5.0400E-005,1598.664960,2.8474E000
1598.681440,2.2810E-004,1598.681440,1.3060E-004,1598.681440,8.0260E-005,1598.681440,4.9680E-005,1598.681440,2.8420E000
1598.697920,2.2640E-004,1598.697920,1.2960E-004,1598.697920,7.9670E-005,1598.697920,4.9380E-005,1598.697920,2.8417E000
1598.714400,2.2680E-004,1598.714400,1.2950E-004,1598.714400,7.9650E-005,1598.714400,4.9360E-005,1598.714400,2.8475E000
1598.730880,2.2810E-004,1598.730880,1.3020E-004,1598.730880,8.0140E-005,1598.730880,4.9560E-005,1598.730880,2.8463E000
1598.747360,2.3010E-004,1598.747360,1.3130E-004,1598.747360,8.0980E-005,1598.747360,4.9970E-005,1598.747360,2.8414E000
1598.763840,2.3210E-004,1598.763840,1.3250E-004,1598.763840,8.1630E-005,1598.763840,5.0540E-005,1598.763840,2.8433E000
1598.780320,2.3480E-004,1598.780320,1.3400E-004,1598.780320,8.2570E-005,1598.780320,5.0810E-005,1598.780320,2.8436E000
1598.796800,2.3520E-004,1598.796800,1.3440E-004,1598.796800,8.2920E-005,1598.796800,5.1220E-005,1598.796800,2.8365E000
1598.813280,2.3520E-004,1598.813280,1.3450E-004,1598.813280,8.3230E-005,1598.813280,5.1280E-005,1598.813280,2.8259E000
1598.829760,2.3420E-004,1598.829760,1.3390E-004,1598.829760,8.2720E-005,1598.829760,5.1300E-005,1598.829760,2.8312E000
1598.846240,2.3190E-004,1598.846240,1.3270E-004,1598.846240,8.1670E-005,1598.846240,5.0420E-005,1598.846240,2.8395E000
1598.862720,2.2950E-004,1598.862720,1.3080E-004,1598.862720,8.1080E-005,1598.862720,4.9870E-005,1598.862720,2.8305E000
1598.879200,2.2740E-004,1598.879200,1.2990E-004,1598.879200,7.9850E-005,1598.879200,4.9440E-005,1598.879200,2.8478E000
1598.895680,2.2680E-004,1598.895680,1.2960E-004,1598.895680,7.9940E-005,1598.895680,4.9150E-005,1598.895680,2.8371E000
1598.912160,2.2740E-004,1598.912160,1.2960E-004,1598.912160,8.0260E-005,1598.912160,4.9480E-005,1598.912160,2.8333E000
1598.928640,2.2890E-004,1598.928640,1.3050E-004,1598.928640,8.0690E-005,1598.928640,4.9460E-005,1598.928640,2.8368E000
1598.945120,2.3090E-004,1598.945120,1.3160E-004,1598.945120,8.1220E-005,1598.945120,4.9970E-005,1598.945120,2.8429E000
1598.961600,2.3300E-004,1598.961600,1.3290E-004,1598.961600,8.2140E-005,1598.961600,5.0440E-005,1598.961600,2.8366E000
1598.978080,2.3500E-004,1598.978080,1.3450E-004,1598.978080,8.3060E-005,1598.978080,5.1010E-005,1598.978080,2.8293E000
1598.994560,2.3710E-004,1598.994560,1.3540E-004,1598.994560,8.3550E-005,1598.994560,5.1360E-005,1598.994560,2.8378E000
1599.011040,2.3620E-004,1599.011040,1.3530E-004,1599.011040,8.3660E-005,1599.011040,5.1300E-005,1599.011040,2.8233E000
1599.027520,2.3440E-004,1599.027520,1.3440E-004,1599.027520,8.3190E-005,1599.027520,5.1140E-005,1599.027520,2.8176E000
1599.044000,2.3110E-004,1599.044000,1.3230E-004,1599.044000,8.2140E-005,1599.044000,5.0260E-005,1599.044000,2.8135E000
1599.060480,2.2810E-004,1599.060480,1.3070E-004,1599.060480,8.1060E-005,1599.060480,4.9770E-005,1599.060480,2.8140E000
1599.076960,2.2640E-004,1599.076960,1.2970E-004,1599.076960,8.0460E-005,1599.076960,4.9180E-005,1599.076960,2.8138E000
1599.093440,2.2620E-004,1599.093440,1.2900E-004,1599.093440,7.9890E-005,1599.093440,4.8790E-005,1599.093440,2.8314E000
1599.109920,2.2660E-004,1599.109920,1.2930E-004,1599.109920,8.0080E-005,1599.109920,4.8890E-005,1599.109920,2.8297E000
1599.126400,2.2810E-004,1599.126400,1.2990E-004,1599.126400,8.0650E-005,1599.126400,4.9100E-005,1599.126400,2.8283E000
1599.142880,2.3010E-004,1599.142880,1.3120E-004,1599.142880,8.1380E-005,1599.142880,4.9530E-005,1599.142880,2.8275E000
1599.159360,2.3340E-004,1599.159360,1.3290E-004,1599.159360,8.2430E-005,1599.159360,5.0140E-005,1599.159360,2.8315E000
1599.175840,2.3540E-004,1599.175840,1.3440E-004,1599.175840,8.3310E-005,1599.175840,5.0720E-005,1599.175840,2.8256E000
1599.192320,2.3750E-004,1599.192320,1.3540E-004,1599.192320,8.4090E-005,1599.192320,5.1150E-005,1599.192320,2.8244E000
1599.208800,2.3730E-004,1599.208800,1.3540E-004,1599.208800,8.4470E-005,1599.208800,5.1250E-005,1599.208800,2.8093E000
1599.225280,2.3520E-004,1599.225280,1.3470E-004,1599.225280,8.3760E-005,1599.225280,5.1000E-005,1599.225280,2.8080E000
1599.241760,2.3240E-004,1599.241760,1.3320E-004,1599.241760,8.2900E-005,1599.241760,5.0330E-005,1599.241760,2.8034E000
1599.258240,2.2970E-004,1599.258240,1.3120E-004,1599.258240,8.1730E-005,1599.258240,4.9770E-005,1599.258240,2.8105E000
1599.274720,2.2730E-004,1599.274720,1.2970E-004,1599.274720,8.0730E-005,1599.274720,4.9140E-005,1599.274720,2.8156E000
1599.291200,2.2540E-004,1599.291200,1.2840E-004,1599.291200,8.0320E-005,1599.291200,4.8670E-005,1599.291200,2.8063E000
1599.307680,2.2500E-004,1599.307680,1.2840E-004,1599.307680,8.0010E-005,1599.307680,4.8460E-005,1599.307680,2.8121E000
1599.324160,2.2560E-004,1599.324160,1.2880E-004,1599.324160,8.0240E-005,1599.324160,4.8570E-005,1599.324160,2.8116E000
1599.340640,2.2770E-004,1599.340640,1.2980E-004,1599.340640,8.0910E-005,1599.340640,4.8870E-005,1599.340640,2.8142E000
1599.357120,2.3050E-004,1599.357120,1.3140E-004,1599.357120,8.1920E-005,1599.357120,4.9650E-005,1599.357120,2.8137E000
1599.373600,2.3420E-004,1599.373600,1.3350E-004,1599.373600,8.2900E-005,1599.373600,5.0140E-005,1599.373600,2.8251E000
1599.390080,2.3630E-004,1599.390080,1.3440E-004,1599.390080,8.3860E-005,1599.390080,5.0840E-005,1599.390080,2.8178E000
1599.406560,2.3650E-004,1599.406560,1.3470E-004,1599.406560,8.4430E-005,1599.406560,5.0940E-005,1599.406560,2.8011E000
1599.423040,2.3460E-004,1599.423040,1.3410E-004,1599.423040,8.3900E-005,1599.423040,5.0670E-005,1599.423040,2.7962E000
1599.439520,2.3300E-004,1599.439520,1.3290E-004,1599.439520,8.2980E-005,1599.439520,5.0270E-005,1599.439520,2.8079E000
1599.456000,2.3010E-004,1599.456000,1.3120E-004,1599.456000,8.2310E-005,1599.456000,4.9630E-005,1599.456000,2.7955E000
1599.472480,2.2770E-004,1599.472480,1.2980E-004,1599.472480,8.1380E-005,1599.472480,4.8870E-005,1599.472480,2.7980E000
1599.488960,2.2620E-004,1599.488960,1.2910E-004,1599.488960,8.0510E-005,1599.488960,4.8630E-005,1599.488960,2.8096E000
1599.505440,2.2540E-004,1599.505440,1.2850E-004,1599.505440,8.0550E-005,1599.505440,4.8400E-005,1599.505440,2.7983E000
1599.521920,2.2580E-004,1599.521920,1.2880E-004,1599.521920,8.0420E-005,1599.521920,4.8570E-005,1599.521920,2.8078E000
1599.538400,2.2810E-004,1599.538400,1.2980E-004,1599.538400,8.1060E-005,1599.538400,4.8710E-005,1599.538400,2.8140E000
1599.554880,2.2970E-004,1599.554880,1.3080E-004,1599.554880,8.2020E-005,1599.554880,4.9320E-005,1599.554880,2.8005E000
1599.571360,2.3220E-004,1599.571360,1.3200E-004,1599.571360,8.2690E-005,1599.571360,4.9860E-005,1599.571360,2.8081E000
1599.587840,2.3300E-004,1599.587840,1.3310E-004,1599.587840,8.3490E-005,1599.587840,5.0120E-005,1599.587840,2.7908E000
1599.604320,2.3340E-004,1599.604320,1.3310E-004,1599.604320,8.3510E-005,1599.604320,5.0310E-005,1599.604320,2.7949E000
1599.620800,2.3260E-004,1599.620800,1.3280E-004,1599.620800,8.3230E-005,1599.620800,5.0240E-005,1599.620800,2.7947E000
1599.637280,2.3070E-004,1599.637280,1.3160E-004,1599.637280,8.2760E-005,1599.637280,4.9710E-005,1599.637280,2.7876E000
1599.653760,2.2870E-004,1599.653760,1.3030E-004,1599.653760,8.1940E-005,1599.653760,4.9260E-005,1599.653760,2.7911E000
1599.670240,2.2640E-004,1599.670240,1.2900E-004,1599.670240,8.1280E-005,1599.670240,4.8810E-005,1599.670240,2.7854E000
1599.686720,2.2560E-004,1599.686720,1.2840E-004,1599.686720,8.0440E-005,1599.686720,4.8510E-005,1599.686720,2.8046E000
1599.703200,2.2520E-004,1599.703200,1.2790E-004,1599.703200,8.0460E-005,1599.703200,4.8010E-005,1599.703200,2.7989E000
1599.719680,2.2600E-004,1599.719680,1.2850E-004,1599.719680,8.0610E-005,1599.719680,4.8240E-005,1599.719680,2.8036E000
1599.736160,2.2830E-004,1599.736160,1.2960E-004,1599.736160,8.1490E-005,1599.736160,4.8670E-005,1599.736160,2.8016E000
1599.752640,2.3010E-004,1599.752640,1.3100E-004,1599.752640,8.2140E-005,1599.752640,4.9140E-005,1599.752640,2.8013E000
1599.769120,2.3280E-004,1599.769120,1.3230E-004,1599.769120,8.3210E-005,1599.769120,4.9620E-005,1599.769120,2.7977E000
1599.785600,2.3400E-004,1599.785600,1.3340E-004,1599.785600,8.3550E-005,1599.785600,4.9970E-005,1599.785600,2.8007E000
1599.802080,2.3400E-004,1599.802080,1.3290E-004,1599.802080,8.3590E-005,1599.802080,4.9970E-005,1599.802080,2.7994E000
1599.818560,2.3240E-004,1599.818560,1.3250E-004,1599.818560,8.3310E-005,1599.818560,4.9840E-005,1599.818560,2.7896E000
1599.835040,2.3040E-004,1599.835040,1.3120E-004,1599.835040,8.2820E-005,1599.835040,4.9500E-005,1599.835040,2.7819E000
1599.851520,2.2750E-004,1599.851520,1.2980E-004,1599.851520,8.1980E-005,1599.851520,4.8900E-005,1599.851520,2.7751E000
1599.868000,2.2560E-004,1599.868000,1.2850E-004,1599.868000,8.1010E-005,1599.868000,4.8430E-005,1599.868000,2.7848E000
1599.884480,2.2400E-004,1599.884480,1.2760E-004,1599.884480,8.0600E-005,1599.884480,4.7920E-005,1599.884480,2.7792E000
1599.900960,2.2420E-004,1599.900960,1.2740E-004,1599.900960,8.0480E-005,1599.900960,4.7710E-005,1599.900960,2.7858E000
1599.917440,2.2480E-004,1599.917440,1.2780E-004,1599.917440,8.0690E-005,1599.917440,4.8060E-005,1599.917440,2.7860E000
1599.933920,2.2690E-004,1599.933920,1.2850E-004,1599.933920,8.1460E-005,1599.933920,4.8350E-005,1599.933920,2.7854E000
1599.950400,2.2950E-004,1599.950400,1.3000E-004,1599.950400,8.2120E-005,1599.950400,4.8880E-005,1599.950400,2.7947E000
1599.966880,2.3100E-004,1599.966880,1.3120E-004,1599.966880,8.2860E-005,1599.966880,4.9250E-005,1599.966880,2.7878E000
1599.983360,2.3220E-004,1599.983360,1.3200E-004,1599.983360,8.3330E-005,1599.983360,4.9560E-005,1599.983360,2.7865E000
1599.999840,2.3240E-004,1599.999840,1.3250E-004,1599.999840,8.3250E-005,1599.999840,4.9660E-005,1599.999840,2.7916E000
1600.016320,2.3200E-004,1600.016320,1.3210E-004,1600.016320,8.3250E-005,1600.016320,4.9720E-005,1600.016320,2.7868E000
1600.032800,2.3080E-004,1600.032800,1.3150E-004,1600.032800,8.2920E-005,1600.032800,4.9520E-005,1600.032800,2.7834E000
1600.049280,2.2890E-004,1600.049280,1.3030E-004,1600.049280,8.2390E-005,1600.049280,4.9150E-005,1600.049280,2.7782E000
1600.065760,2.2750E-004,1600.065760,1.2910E-004,1600.065760,8.1710E-005,1600.065760,4.8640E-005,1600.065760,2.7842E000
1600.082240,2.2520E-004,1600.082240,1.2840E-004,1600.082240,8.1010E-005,1600.082240,4.8550E-005,1600.082240,2.7799E000
1600.098720,2.2520E-004,1600.098720,1.2820E-004,1600.098720,8.1010E-005,1600.098720,4.8310E-005,1600.098720,2.7799E000
1600.115200,2.2520E-004,1600.115200,1.2800E-004,1600.115200,8.1200E-005,1600.115200,4.8250E-005,1600.115200,2.7734E000
1600.131680,2.2600E-004,1600.131680,1.2860E-004,1600.131680,8.1380E-005,1600.131680,4.8350E-005,1600.131680,2.7771E000
1600.148160,2.2790E-004,1600.148160,1.2950E-004,1600.148160,8.1790E-005,1600.148160,4.8700E-005,1600.148160,2.7864E000
1600.164640,2.2870E-004,1600.164640,1.2960E-004,1600.164640,8.2160E-005,1600.164640,4.8960E-005,1600.164640,2.7836E000
1600.181120,2.2950E-004,1600.181120,1.3040E-004,1600.181120,8.2750E-005,1600.181120,4.9250E-005,1600.181120,2.7734E000
1600.197600,2.3040E-004,1600.197600,1.3070E-004,1600.197600,8.3140E-005,1600.197600,4.9270E-005,1600.197600,2.7712E000
1600.214080,2.3060E-004,1600.214080,1.3100E-004,1600.214080,8.2940E-005,1600.214080,4.9250E-005,1600.214080,2.7803E000
1600.230560,2.2930E-004,1600.230560,1.3060E-004,1600.230560,8.2880E-005,1600.230560,4.9350E-005,1600.230560,2.7667E000
1600.247040,2.2870E-004,1600.247040,1.3000E-004,1600.247040,8.2650E-005,1600.247040,4.9110E-005,1600.247040,2.7671E000
1600.263520,2.2730E-004,1600.263520,1.2900E-004,1600.263520,8.2000E-005,1600.263520,4.8820E-005,1600.263520,2.7720E000
1600.280000,2.2650E-004,1600.280000,1.2830E-004,1600.280000,8.1610E-005,1600.280000,4.8570E-005,1600.280000,2.7754E000
1600.296480,2.2560E-004,1600.296480,1.2840E-004,1600.296480,8.1320E-005,1600.296480,4.8410E-005,1600.296480,2.7742E000
1600.312960,2.2690E-004,1600.312960,1.2870E-004,1600.312960,8.1510E-005,1600.312960,4.8660E-005,1600.312960,2.7837E000
1600.329440,2.2730E-004,1600.329440,1.2910E-004,1600.329440,8.1730E-005,1600.329440,4.8640E-005,1600.329440,2.7811E000
1600.345920,2.2810E-004,1600.345920,1.2950E-004,1600.345920,8.2240E-005,1600.345920,4.8820E-005,1600.345920,2.7736E000
1600.362400,2.2910E-004,1600.362400,1.3030E-004,1600.362400,8.2550E-005,1600.362400,4.9130E-005,1600.362400,2.7753E000
1600.378880,2.3040E-004,1600.378880,1.3100E-004,1600.378880,8.2880E-005,1600.378880,4.9280E-005,1600.378880,2.7799E000
1600.395360,2.3080E-004,1600.395360,1.3130E-004,1600.395360,8.3290E-005,1600.395360,4.9360E-005,1600.395360,2.7710E000
1600.411840,2.3040E-004,1600.411840,1.3100E-004,1600.411840,8.3330E-005,1600.411840,4.9480E-005,1600.411840,2.7649E000
1600.428320,2.2910E-004,1600.428320,1.3030E-004,1600.428320,8.3020E-005,1600.428320,4.9220E-005,1600.428320,2.7596E000
1600.444800,2.2790E-004,1600.444800,1.2950E-004,1600.444800,8.2610E-005,1600.444800,4.8930E-005,1600.444800,2.7587E000
1600.461280,2.2610E-004,1600.461280,1.2850E-004,1600.461280,8.1870E-005,1600.461280,4.8400E-005,1600.461280,2.7617E000
1600.477760,2.2500E-004,1600.477760,1.2780E-004,1600.477760,8.1790E-005,1600.477760,4.8230E-005,1600.477760,2.7509E000
1600.494240,2.2520E-004,1600.494240,1.2770E-004,1600.494240,8.1380E-005,1600.494240,4.8230E-005,1600.494240,2.7673E000
1600.510720,2.2590E-004,1600.510720,1.2810E-004,1600.510720,8.1710E-005,1600.510720,4.8350E-005,1600.510720,2.7647E000
1600.527200,2.2670E-004,1600.527200,1.2840E-004,1600.527200,8.1870E-005,1600.527200,4.8600E-005,1600.527200,2.7690E000
1600.543680,2.2810E-004,1600.543680,1.2950E-004,1600.543680,8.2100E-005,1600.543680,4.8890E-005,1600.543680,2.7783E000
1600.560160,2.2980E-004,1600.560160,1.3010E-004,1600.560160,8.3000E-005,1600.560160,4.9200E-005,1600.560160,2.7687E000
1600.576640,2.3100E-004,1600.576640,1.3130E-004,1600.576640,8.3430E-005,1600.576640,4.9400E-005,1600.576640,2.7688E000
1600.593120,2.3140E-004,1600.593120,1.3130E-004,1600.593120,8.3700E-005,1600.593120,4.9480E-005,1600.593120,2.7646E000
1600.609600,2.3100E-004,1600.609600,1.3110E-004,1600.609600,8.3470E-005,1600.609600,4.9560E-005,1600.609600,2.7675E000
1600.626080,2.2960E-004,1600.626080,1.3040E-004,1600.626080,8.3330E-005,1600.626080,4.9420E-005,1600.626080,2.7553E000
1600.642560,2.2790E-004,1600.642560,1.2970E-004,1600.642560,8.2550E-005,1600.642560,4.8910E-005,1600.642560,2.7608E000
1600.659040,2.2610E-004,1600.659040,1.2860E-004,1600.659040,8.2020E-005,1600.659040,4.8700E-005,1600.659040,2.7566E000
1600.675520,2.2440E-004,1600.675520,1.2790E-004,1600.675520,8.1610E-005,1600.675520,4.8350E-005,1600.675520,2.7497E000
1600.692000,2.2380E-004,1600.692000,1.2710E-004,1600.692000,8.1220E-005,1600.692000,4.8010E-005,1600.692000,2.7555E000
1600.708480,2.2360E-004,1600.708480,1.2660E-004,1600.708480,8.1180E-005,1600.708480,4.7820E-005,1600.708480,2.7544E000
1600.724960,2.2500E-004,1600.724960,1.2710E-004,1600.724960,8.1280E-005,1600.724960,4.8090E-005,1600.724960,2.7682E000
1600.741440,2.2570E-004,1600.741440,1.2810E-004,1600.741440,8.1830E-005,1600.741440,4.8230E-005,1600.741440,2.7582E000
1600.757920,2.2810E-004,1600.757920,1.2920E-004,1600.757920,8.2530E-005,1600.757920,4.8620E-005,1600.757920,2.7638E000
